,#,Date,Category,Winner,Movie,Wikipedia_URL
99,58th,"March 24, 1986",Best Visual Effects,True,Cocoon,https://en.wikipedia.org/wiki/58th_Academy_Awards
100,58th,"March 24, 1986",Best Visual Effects,False,Return to Oz,https://en.wikipedia.org/wiki/58th_Academy_Awards
101,58th,"March 24, 1986",Best Visual Effects,False,Young Sherlock Holmes,https://en.wikipedia.org/wiki/58th_Academy_Awards
102,59th,"March 30, 1987",Best Picture,True,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
103,59th,"March 30, 1987",Best Picture,False,Children of a Lesser God,https://en.wikipedia.org/wiki/59th_Academy_Awards
104,59th,"March 30, 1987",Best Picture,False,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
105,59th,"March 30, 1987",Best Picture,False,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
106,59th,"March 30, 1987",Best Picture,False,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
107,59th,"March 30, 1987",Best Directing,True,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
108,59th,"March 30, 1987",Best Directing,False,Blue Velvet,https://en.wikipedia.org/wiki/59th_Academy_Awards
109,59th,"March 30, 1987",Best Directing,False,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
110,59th,"March 30, 1987",Best Directing,False,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
111,59th,"March 30, 1987",Best Directing,False,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
112,59th,"March 30, 1987",Best Actor in a Leading Role,True,The Color of Money,https://en.wikipedia.org/wiki/59th_Academy_Awards
113,59th,"March 30, 1987",Best Actor in a Leading Role,False,Round Midnight,https://en.wikipedia.org/wiki/59th_Academy_Awards
114,59th,"March 30, 1987",Best Actor in a Leading Role,False,Mona Lisa,https://en.wikipedia.org/wiki/59th_Academy_Awards
115,59th,"March 30, 1987",Best Actor in a Leading Role,False,Children of a Lesser God,https://en.wikipedia.org/wiki/59th_Academy_Awards
116,59th,"March 30, 1987",Best Actor in a Leading Role,False,Salvador,https://en.wikipedia.org/wiki/59th_Academy_Awards
117,59th,"March 30, 1987",Best Actress in a Leading Role,True,Children of a Lesser God,https://en.wikipedia.org/wiki/59th_Academy_Awards
118,59th,"March 30, 1987",Best Actress in a Leading Role,False,The Morning After,https://en.wikipedia.org/wiki/59th_Academy_Awards
119,59th,"March 30, 1987",Best Actress in a Leading Role,False,Crimes of the Heart,https://en.wikipedia.org/wiki/59th_Academy_Awards
120,59th,"March 30, 1987",Best Actress in a Leading Role,False,Peggy Sue Got Married,https://en.wikipedia.org/wiki/59th_Academy_Awards
121,59th,"March 30, 1987",Best Actress in a Leading Role,False,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
122,59th,"March 30, 1987",Best Actor in a Supporting Role,True,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
123,59th,"March 30, 1987",Best Actor in a Supporting Role,False,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
124,59th,"March 30, 1987",Best Actor in a Supporting Role,False,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
125,59th,"March 30, 1987",Best Actor in a Supporting Role,False,Hoosiers,https://en.wikipedia.org/wiki/59th_Academy_Awards
126,59th,"March 30, 1987",Best Actress in a Supporting Role,True,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
127,59th,"March 30, 1987",Best Actress in a Supporting Role,False,Crimes of the Heart,https://en.wikipedia.org/wiki/59th_Academy_Awards
128,59th,"March 30, 1987",Best Actress in a Supporting Role,False,Children of a Lesser God,https://en.wikipedia.org/wiki/59th_Academy_Awards
129,59th,"March 30, 1987",Best Actress in a Supporting Role,False,The Color of Money,https://en.wikipedia.org/wiki/59th_Academy_Awards
130,59th,"March 30, 1987",Best Actress in a Supporting Role,False,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
131,59th,"March 30, 1987",Best Writing (Screenplay Written Directly for the Screen),True,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
132,59th,"March 30, 1987",Best Writing (Screenplay Written Directly for the Screen),False,Crocodile Dundee,https://en.wikipedia.org/wiki/59th_Academy_Awards
133,59th,"March 30, 1987",Best Writing (Screenplay Written Directly for the Screen),False,My Beautiful Laundrette,https://en.wikipedia.org/wiki/59th_Academy_Awards
134,59th,"March 30, 1987",Best Writing (Screenplay Written Directly for the Screen),False,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
135,59th,"March 30, 1987",Best Writing (Screenplay Written Directly for the Screen),False,Salvador,https://en.wikipedia.org/wiki/59th_Academy_Awards
136,59th,"March 30, 1987",Best Writing (Screenplay Based on Material from Another Medium),True,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
137,59th,"March 30, 1987",Best Writing (Screenplay Based on Material from Another Medium),False,Children of a Lesser God,https://en.wikipedia.org/wiki/59th_Academy_Awards
138,59th,"March 30, 1987",Best Writing (Screenplay Based on Material from Another Medium),False,The Color of Money,https://en.wikipedia.org/wiki/59th_Academy_Awards
139,59th,"March 30, 1987",Best Writing (Screenplay Based on Material from Another Medium),False,Crimes of the Heart,https://en.wikipedia.org/wiki/59th_Academy_Awards
140,59th,"March 30, 1987",Best Writing (Screenplay Based on Material from Another Medium),False,Stand by Me,https://en.wikipedia.org/wiki/59th_Academy_Awards
141,59th,"March 30, 1987",Best Writing (Screenplay Based on Material from Another Medium),False,The Body,https://en.wikipedia.org/wiki/59th_Academy_Awards
142,59th,"March 30, 1987",Best Foreign Language Film,True,The Assault,https://en.wikipedia.org/wiki/59th_Academy_Awards
143,59th,"March 30, 1987",Best Foreign Language Film,False,38,https://en.wikipedia.org/wiki/59th_Academy_Awards
144,59th,"March 30, 1987",Best Foreign Language Film,False,Betty Blue,https://en.wikipedia.org/wiki/59th_Academy_Awards
145,59th,"March 30, 1987",Best Foreign Language Film,False,The Decline of the American Empire,https://en.wikipedia.org/wiki/59th_Academy_Awards
146,59th,"March 30, 1987",Best Foreign Language Film,False,My Sweet Little Village,https://en.wikipedia.org/wiki/59th_Academy_Awards
147,59th,"March 30, 1987",Best Documentary (Feature),True,Artie Shaw: Time Is All You've Got,https://en.wikipedia.org/wiki/59th_Academy_Awards
148,59th,"March 30, 1987",Best Documentary (Feature),False,Chile: Hasta Cuando?,https://en.wikipedia.org/wiki/59th_Academy_Awards
149,59th,"March 30, 1987",Best Documentary (Feature),False,Isaac in America: A Journey with Isaac Bashevis Singer,https://en.wikipedia.org/wiki/59th_Academy_Awards
150,59th,"March 30, 1987",Best Documentary (Feature),False,Witness to Apartheid,https://en.wikipedia.org/wiki/59th_Academy_Awards
151,59th,"March 30, 1987",Best Documentary (Short Subject),True,"Women – for America, for the World",https://en.wikipedia.org/wiki/59th_Academy_Awards
152,59th,"March 30, 1987",Best Documentary (Short Subject),False,Debonair Dancers,https://en.wikipedia.org/wiki/59th_Academy_Awards
153,59th,"March 30, 1987",Best Documentary (Short Subject),False,The Masters of Disaster,https://en.wikipedia.org/wiki/59th_Academy_Awards
154,59th,"March 30, 1987",Best Documentary (Short Subject),False,Red Grooms: Sunflower in a Hothouse,https://en.wikipedia.org/wiki/59th_Academy_Awards
155,59th,"March 30, 1987",Best Documentary (Short Subject),False,Sam,https://en.wikipedia.org/wiki/59th_Academy_Awards
156,59th,"March 30, 1987",Best Short Film (Live Action),True,Precious Images,https://en.wikipedia.org/wiki/59th_Academy_Awards
157,59th,"March 30, 1987",Best Short Film (Animated),True,Greek Tragedy,https://en.wikipedia.org/wiki/59th_Academy_Awards
158,59th,"March 30, 1987",Best Short Film (Animated),False,"The Frog, the Dog and the Devil",https://en.wikipedia.org/wiki/59th_Academy_Awards
159,59th,"March 30, 1987",Best Short Film (Animated),False,Luxo Jr.,https://en.wikipedia.org/wiki/59th_Academy_Awards
160,59th,"March 30, 1987",Best Music (Original Score),True,Round Midnight,https://en.wikipedia.org/wiki/59th_Academy_Awards
161,59th,"March 30, 1987",Best Music (Original Score),False,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
162,59th,"March 30, 1987",Best Music (Original Score),False,Hoosiers,https://en.wikipedia.org/wiki/59th_Academy_Awards
163,59th,"March 30, 1987",Best Music (Original Score),False,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
164,59th,"March 30, 1987",Best Music (Original Score),False,Star Trek IV: The Voyage Home,https://en.wikipedia.org/wiki/59th_Academy_Awards
165,59th,"March 30, 1987",Best Music (Original Song),True,Top Gun,https://en.wikipedia.org/wiki/59th_Academy_Awards
166,59th,"March 30, 1987",Best Music (Original Song),False,The Karate Kid Part II,https://en.wikipedia.org/wiki/59th_Academy_Awards
167,59th,"March 30, 1987",Best Music (Original Song),False,That's Life!,https://en.wikipedia.org/wiki/59th_Academy_Awards
168,59th,"March 30, 1987",Best Music (Original Song),False,Little Shop of Horrors,https://en.wikipedia.org/wiki/59th_Academy_Awards
169,59th,"March 30, 1987",Best Music (Original Song),False,An American Tail,https://en.wikipedia.org/wiki/59th_Academy_Awards
170,59th,"March 30, 1987",Best Sound Effects Editing,True,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
171,59th,"March 30, 1987",Best Sound Effects Editing,False,Star Trek IV: The Voyage Home,https://en.wikipedia.org/wiki/59th_Academy_Awards
172,59th,"March 30, 1987",Best Sound Effects Editing,False,Top Gun,https://en.wikipedia.org/wiki/59th_Academy_Awards
173,59th,"March 30, 1987",Best Sound,True,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
174,59th,"March 30, 1987",Best Sound,False,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
175,59th,"March 30, 1987",Best Sound,False,Heartbreak Ridge,https://en.wikipedia.org/wiki/59th_Academy_Awards
176,59th,"March 30, 1987",Best Sound,False,Star Trek IV: The Voyage Home,https://en.wikipedia.org/wiki/59th_Academy_Awards
177,59th,"March 30, 1987",Best Sound,False,Top Gun,https://en.wikipedia.org/wiki/59th_Academy_Awards
178,59th,"March 30, 1987",Best Art Direction,True,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
179,59th,"March 30, 1987",Best Art Direction,False,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
180,59th,"March 30, 1987",Best Art Direction,False,The Color of Money,https://en.wikipedia.org/wiki/59th_Academy_Awards
181,59th,"March 30, 1987",Best Art Direction,False,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
182,59th,"March 30, 1987",Best Art Direction,False,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
183,59th,"March 30, 1987",Best Cinematography,True,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
184,59th,"March 30, 1987",Best Cinematography,False,Peggy Sue Got Married,https://en.wikipedia.org/wiki/59th_Academy_Awards
185,59th,"March 30, 1987",Best Cinematography,False,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
186,59th,"March 30, 1987",Best Cinematography,False,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
187,59th,"March 30, 1987",Best Cinematography,False,Star Trek IV: The Voyage Home,https://en.wikipedia.org/wiki/59th_Academy_Awards
188,59th,"March 30, 1987",Best Makeup,True,The Fly,https://en.wikipedia.org/wiki/59th_Academy_Awards
189,59th,"March 30, 1987",Best Makeup,False,The Clan of the Cave Bear,https://en.wikipedia.org/wiki/59th_Academy_Awards
190,59th,"March 30, 1987",Best Makeup,False,Legend,https://en.wikipedia.org/wiki/59th_Academy_Awards
191,59th,"March 30, 1987",Best Costume Design,True,A Room with a View,https://en.wikipedia.org/wiki/59th_Academy_Awards
192,59th,"March 30, 1987",Best Costume Design,False,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
193,59th,"March 30, 1987",Best Costume Design,False,Otello,https://en.wikipedia.org/wiki/59th_Academy_Awards
194,59th,"March 30, 1987",Best Costume Design,False,Peggy Sue Got Married,https://en.wikipedia.org/wiki/59th_Academy_Awards
195,59th,"March 30, 1987",Best Costume Design,False,Pirates,https://en.wikipedia.org/wiki/59th_Academy_Awards
196,59th,"March 30, 1987",Best Film Editing,True,Platoon,https://en.wikipedia.org/wiki/59th_Academy_Awards
197,59th,"March 30, 1987",Best Film Editing,False,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
